Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Daytime/evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Target,Marital status,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Application order
26,4,4,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,1,13,7,1,3,1,3,10,1
19,3,1,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,1,8,14,1,1,1,5,12,4
19,6,6,16.2,0.3,-0.92,1,0,0,1,1,1,Graduate,1,8,15,1,13,27,10,10,1
19,6,5,12.4,0.5,1.79,1,1,0,1,1,0,Graduate,1,1,15,1,23,1,10,5,3
19,5,5,16.2,0.3,-0.92,1,1,0,1,1,1,Graduate,1,1,9,1,1,14,6,6,1
19,0,0,7.6,2.6,0.32,1,1,0,0,1,0,Dropout,1,1,14,1,11,9,1,1,3
28,3,2,7.6,2.6,0.32,1,1,0,0,1,0,Dropout,1,12,14,1,19,24,1,1,1
24,15,14,9.4,-0.8,-3.12,1,0,0,1,1,0,Graduate,1,14,9,1,22,27,10,10,1
18,3,5,7.6,2.6,0.32,1,0,0,1,1,0,Graduate,1,1,8,1,3,1,3,5,1
18,2,2,7.6,2.6,0.32,1,0,0,1,1,0,Enrolled,1,1,7,1,23,28,6,6,2
18,6,5,12.4,0.5,1.79,1,1,0,1,1,1,Graduate,1,1,15,1,1,3,4,8,1
21,5,5,8.9,1.4,3.51,1,0,0,1,1,0,Graduate,1,15,4,14,4,1,3,9,1
28,0,0,12.4,0.5,1.79,0,0,0,0,1,0,Dropout,2,12,17,1,13,27,10,6,1
58,0,0,13.9,-0.3,0.79,1,0,0,1,1,0,Dropout,1,12,4,9,22,14,10,11,1
49,0,0,7.6,2.6,0.32,0,1,0,0,1,0,Dropout,2,12,17,1,19,24,1,1,1
24,3,2,15.5,2.8,-4.06,1,0,0,1,1,0,Enrolled,1,12,7,1,1,28,4,6,1
25,4,4,7.6,2.6,0.32,1,0,0,1,1,0,Graduate,1,14,14,1,19,24,1,1,1
33,1,0,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,4,13,9,1,22,28,8,4,1
33,0,0,9.4,-0.8,-3.12,1,0,0,0,1,0,Dropout,2,12,7,12,22,27,8,8,2
40,1,4,13.9,-0.3,0.79,1,0,0,1,1,0,Graduate,2,14,16,1,22,27,8,8,1
48,5,5,16.2,0.3,-0.92,0,0,0,1,1,0,Graduate,2,12,17,1,22,14,10,4,1
18,3,3,8.9,1.4,3.51,1,1,1,0,1,0,Enrolled,1,8,7,1,1,14,10,4,3
24,6,6,7.6,2.6,0.32,1,1,0,1,1,0,Graduate,1,12,12,12,23,28,10,9,1
23,5,4,10.8,1.4,1.74,1,0,0,1,1,1,Graduate,2,1,6,1,13,14,30,29,1
39,5,5,10.8,1.4,1.74,0,1,1,0,1,0,Dropout,1,12,17,12,13,27,8,6,1
21,9,8,15.5,2.8,-4.06,1,0,0,1,1,0,Graduate,1,9,4,1,1,28,10,7,1
34,4,2,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,1,13,7,6,20,25,7,7,1
41,4,5,8.9,1.4,3.51,0,0,0,1,1,1,Enrolled,2,12,17,1,13,14,5,5,1
18,6,6,12.7,3.7,-1.7,1,0,0,1,1,0,Graduate,1,1,15,1,1,28,5,6,1
34,4,4,13.9,-0.3,0.79,0,0,0,1,1,0,Enrolled,2,12,17,1,23,28,10,4,1
19,2,1,7.6,2.6,0.32,1,0,0,1,1,0,Dropout,1,1,9,1,1,1,3,11,1
19,7,7,12.7,3.7,-1.7,1,0,0,1,1,0,Graduate,1,1,12,1,13,14,4,4,1
28,6,6,16.2,0.3,-0.92,1,0,0,1,1,0,Graduate,1,4,4,4,1,1,5,7,1
18,5,0,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,1,8,5,1,1,1,6,1,1
19,3,2,11.1,0.6,2.02,1,1,0,1,1,0,Dropout,1,1,10,1,2,2,4,5,1
19,5,2,12.4,0.5,1.79,1,1,1,0,1,0,Dropout,1,8,6,1,13,28,10,2,2
18,7,8,16.2,0.3,-0.92,1,1,0,1,0,0,Graduate,1,8,12,1,1,3,10,3,1
18,6,5,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,1,8,1,3,3,3,3,1
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,Dropout,1,1,15,1,1,3,4,4,1
19,6,6,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,15,10,14,3,14,5,10,2
31,5,5,12.7,3.7,-1.7,1,0,0,1,0,0,Graduate,2,4,10,3,22,27,29,43,1
33,6,6,12.7,3.7,-1.7,0,0,0,1,0,1,Graduate,1,12,3,1,22,27,10,9,1
20,5,6,12.4,0.5,1.79,1,1,0,1,0,1,Enrolled,1,1,12,1,3,1,19,26,3
22,5,2,12.4,0.5,1.79,1,1,0,1,0,0,Enrolled,1,15,6,14,13,1,7,5,1
19,6,5,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,8,11,1,1,14,4,4,1
18,6,6,7.6,2.6,0.32,1,1,0,1,0,0,Dropout,1,1,5,1,19,24,1,1,3
18,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,Dropout,1,8,5,1,23,1,6,6,3
18,0,0,8.9,1.4,3.51,1,1,0,0,0,0,Dropout,1,1,14,1,13,28,10,10,5
18,0,0,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,1,2,1,3,4,3,6,1
19,5,3,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,8,9,1,13,14,8,8,2
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,Dropout,1,8,10,1,1,3,4,5,2
18,3,5,12.7,3.7,-1.7,1,1,0,1,0,0,Graduate,1,8,6,1,3,14,6,6,1
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,Graduate,1,8,12,1,22,27,10,7,6
21,9,9,8.9,1.4,3.51,1,1,0,1,0,0,Graduate,1,17,10,16,22,27,10,11,1
18,7,7,12.7,3.7,-1.7,1,0,0,1,0,1,Graduate,1,1,12,1,13,27,6,6,1
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,8,14,1,1,28,4,4,3
18,7,6,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,1,12,1,13,14,10,11,2
20,6,7,16.2,0.3,-0.92,1,1,0,1,0,0,Graduate,1,8,12,1,13,1,5,4,1
18,5,5,12.7,3.7,-1.7,1,0,0,1,0,1,Graduate,1,8,9,1,1,28,5,6,1
18,0,0,11.1,0.6,2.02,1,1,0,1,0,0,Dropout,1,1,15,1,13,1,5,6,2
20,5,5,8.9,1.4,3.51,1,1,0,1,0,1,Graduate,1,9,9,1,22,28,29,28,2
20,6,6,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,8,11,1,13,14,10,9,1
19,4,0,11.1,0.6,2.02,1,1,1,1,0,1,Dropout,1,8,9,1,22,1,10,10,1
19,11,11,11.1,0.6,2.02,1,0,0,1,0,1,Graduate,1,16,5,1,3,1,4,6,1
18,1,0,12.7,3.7,-1.7,1,1,1,0,0,1,Dropout,1,8,14,1,13,27,10,13,4
19,6,6,15.5,2.8,-4.06,1,1,1,1,0,1,Graduate,1,8,15,1,1,1,5,10,3
20,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,Graduate,1,1,12,1,1,28,5,8,2
21,6,5,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,15,9,14,13,1,5,10,1
21,6,6,10.8,1.4,1.74,1,0,0,1,0,0,Graduate,1,14,12,1,26,3,3,3,2
20,6,6,11.1,0.6,2.02,1,0,0,1,0,0,Graduate,1,8,5,1,23,28,10,10,1
19,7,7,8.9,1.4,3.51,1,1,0,1,0,0,Graduate,1,9,16,1,23,28,29,36,2
21,2,2,7.6,2.6,0.32,1,0,0,0,0,0,Dropout,1,8,6,1,1,14,5,12,3
18,5,5,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,1,6,1,18,14,5,12,1
19,5,5,8.9,1.4,3.51,1,0,0,1,0,1,Graduate,1,1,11,1,13,27,10,10,5
18,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,Graduate,1,8,12,1,13,14,10,5,2
19,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,Graduate,1,1,12,1,1,1,10,10,4
18,3,3,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,1,9,1,1,14,5,4,2
18,4,4,15.5,2.8,-4.06,1,0,0,1,0,1,Enrolled,1,1,16,1,13,27,6,8,1
18,6,6,13.9,-0.3,0.79,1,0,0,1,0,0,Graduate,1,1,15,1,22,27,9,9,1
18,4,5,10.8,1.4,1.74,1,1,0,1,0,1,Graduate,1,8,6,1,1,27,10,10,1
18,2,0,12.4,0.5,1.79,1,1,0,1,0,0,Dropout,1,8,5,1,23,14,8,8,1
18,6,6,11.1,0.6,2.02,1,0,0,1,0,1,Enrolled,1,1,5,1,1,28,10,8,3
18,0,0,11.1,0.6,2.02,1,0,0,1,0,0,Dropout,1,8,10,1,1,28,10,8,1
18,6,6,10.8,1.4,1.74,1,0,0,1,0,0,Graduate,1,1,10,1,1,3,5,3,1
20,2,6,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,13,6,1,1,28,5,10,1
18,5,5,15.5,2.8,-4.06,1,0,0,1,0,0,Enrolled,1,1,16,1,3,1,3,6,1
18,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,Graduate,1,8,5,1,1,14,5,6,4
20,7,7,10.8,1.4,1.74,1,0,0,1,0,1,Graduate,1,9,12,1,22,27,10,8,6
40,8,5,9.4,-0.8,-3.12,1,0,0,1,0,0,Graduate,4,14,14,1,22,27,10,7,1
18,6,7,15.5,2.8,-4.06,1,1,0,1,0,1,Graduate,1,1,12,1,23,28,10,10,6
19,5,5,13.9,-0.3,0.79,1,1,0,1,0,0,Graduate,1,1,11,1,13,14,5,8,5
24,0,0,12.4,0.5,1.79,0,0,0,1,0,0,Dropout,1,4,17,15,1,14,5,10,1
19,6,6,10.8,1.4,1.74,1,1,0,1,0,0,Dropout,1,1,15,1,3,28,3,11,3
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,1,12,1,2,1,5,5,6
20,6,7,11.1,0.6,2.02,1,1,0,1,0,1,Graduate,1,1,12,1,1,14,10,7,1
18,7,8,12.4,0.5,1.79,1,0,0,1,0,0,Graduate,1,1,12,1,23,28,6,6,1
18,0,0,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,1,2,1,1,28,5,9,1
19,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,Graduate,1,8,12,1,13,27,5,8,2
18,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,Dropout,1,8,12,1,3,3,5,6,3
19,6,5,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,15,6,14,3,3,3,3,1
19,7,8,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,1,12,1,22,27,10,8,2
19,7,7,12.4,0.5,1.79,1,0,0,1,0,1,Graduate,1,1,12,1,13,14,6,8,1
19,7,7,11.1,0.6,2.02,1,1,0,1,0,1,Dropout,1,1,12,1,1,27,5,5,2
19,6,6,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,1,12,1,1,28,2,8,1
25,5,4,9.4,-0.8,-3.12,1,1,1,0,0,0,Dropout,1,12,14,9,1,14,2,6,1
20,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,Graduate,1,1,12,1,13,14,5,11,1
23,7,4,8.9,1.4,3.51,1,0,1,0,0,0,Dropout,1,17,10,16,1,14,6,6,1
20,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,Dropout,1,1,5,1,13,14,8,8,1
27,5,6,11.1,0.6,2.02,0,0,0,1,0,0,Graduate,1,12,3,1,22,9,10,11,1
18,8,8,9.4,-0.8,-3.12,1,0,0,1,0,0,Graduate,1,1,12,1,13,1,5,5,1
18,5,4,9.4,-0.8,-3.12,1,1,1,1,0,0,Enrolled,1,1,16,1,13,1,6,11,1
23,11,8,13.9,-0.3,0.79,0,1,1,0,0,0,Dropout,1,4,3,15,13,1,6,11,1
19,6,6,7.6,2.6,0.32,1,1,0,1,0,1,Graduate,1,1,12,1,23,27,6,7,6
18,5,5,15.5,2.8,-4.06,1,0,0,1,0,0,Graduate,1,1,9,1,22,28,4,4,1
20,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,Graduate,1,14,12,1,1,14,10,9,1
18,4,5,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,1,14,1,13,14,10,10,2
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,Graduate,1,1,12,1,1,1,5,5,1
19,6,6,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,15,10,14,13,14,9,9,1
19,4,5,9.4,-0.8,-3.12,1,0,0,1,0,0,Enrolled,1,1,16,1,23,27,6,6,1
18,4,5,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,1,6,1,3,3,2,12,1
18,5,6,9.4,-0.8,-3.12,1,0,0,1,0,0,Graduate,1,1,10,1,22,27,10,6,1
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,1,15,1,13,14,5,8,2
28,11,8,15.5,2.8,-4.06,1,0,0,0,0,0,Dropout,1,2,16,1,13,28,10,10,1
19,4,1,7.6,2.6,0.32,1,1,0,1,0,0,Dropout,1,8,11,1,22,27,6,10,1
20,0,0,13.9,-0.3,0.79,1,1,1,1,0,0,Dropout,1,14,2,1,3,1,3,4,1
19,6,7,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,1,12,1,1,27,5,10,2
20,6,6,11.1,0.6,2.02,1,0,0,1,0,1,Graduate,1,1,5,1,1,14,5,1,1
19,5,5,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,1,11,1,13,14,10,10,2
21,5,4,8.9,1.4,3.51,1,1,0,1,0,0,Enrolled,1,16,5,1,5,1,3,11,1
19,7,7,11.1,0.6,2.02,1,1,0,1,0,1,Graduate,1,1,16,1,1,14,10,5,1
18,6,6,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,1,5,1,13,1,10,4,2
19,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,Dropout,1,8,8,1,3,1,3,2,2
19,6,6,8.9,1.4,3.51,1,0,0,1,0,1,Graduate,1,8,14,1,10,28,10,6,1
20,5,6,16.2,0.3,-0.92,1,0,1,1,0,0,Graduate,1,1,15,1,23,14,18,16,1
18,5,6,13.9,-0.3,0.79,1,1,0,1,0,0,Enrolled,1,8,16,1,1,1,5,1,2
18,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,Enrolled,1,14,2,1,13,14,6,8,1
18,4,5,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,8,8,1,1,1,5,6,1
18,0,0,8.9,1.4,3.51,1,0,0,1,0,0,Dropout,1,8,15,1,13,14,6,9,3
18,5,6,7.6,2.6,0.32,1,1,0,1,0,0,Graduate,1,8,10,1,22,28,1,8,3
20,5,6,15.5,2.8,-4.06,1,1,0,1,0,0,Dropout,1,9,15,1,13,14,5,5,4
19,7,8,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,8,12,1,13,1,10,10,3
21,3,3,15.5,2.8,-4.06,1,1,1,0,0,0,Dropout,1,1,16,1,22,27,10,10,1
20,0,0,10.8,1.4,1.74,1,1,1,0,0,0,Dropout,1,8,14,3,10,3,6,9,1
18,5,4,9.4,-0.8,-3.12,1,1,0,1,0,0,Graduate,1,1,11,1,22,28,10,10,1
20,6,6,10.8,1.4,1.74,1,0,0,1,0,1,Graduate,1,1,15,1,1,4,6,4,1
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,Graduate,1,1,12,1,13,27,2,10,2
22,4,5,9.4,-0.8,-3.12,1,1,0,1,0,0,Dropout,1,1,6,6,13,14,10,10,1
22,0,0,9.4,-0.8,-3.12,1,1,0,0,0,0,Dropout,1,8,8,1,13,14,10,10,1
18,3,4,10.8,1.4,1.74,1,1,0,1,0,0,Enrolled,1,1,16,1,23,28,8,6,2
21,6,7,7.6,2.6,0.32,1,0,0,1,0,0,Enrolled,1,14,9,1,3,14,10,10,1
19,2,5,7.6,2.6,0.32,1,1,0,1,0,0,Graduate,1,1,10,1,13,14,1,6,1
19,0,0,10.8,1.4,1.74,1,1,0,1,0,0,Dropout,1,1,2,1,22,28,10,10,4
20,7,7,9.4,-0.8,-3.12,1,1,0,1,0,1,Dropout,1,1,12,1,19,24,1,1,2
18,7,8,15.5,2.8,-4.06,1,1,1,1,0,1,Graduate,1,1,12,1,23,14,9,9,3
22,7,5,8.9,1.4,3.51,0,0,0,0,0,0,Dropout,1,16,17,16,13,27,6,10,1
20,4,5,7.6,2.6,0.32,1,1,0,1,0,0,Graduate,1,8,6,1,13,26,12,8,4
19,6,6,12.4,0.5,1.79,1,0,0,1,0,0,Graduate,1,15,4,14,23,28,7,7,1
19,7,7,12.4,0.5,1.79,1,1,0,1,0,1,Graduate,1,1,12,1,1,14,7,8,5
20,5,6,11.1,0.6,2.02,1,1,0,1,0,1,Enrolled,1,1,12,1,23,14,10,8,2
25,3,3,15.5,2.8,-4.06,0,0,0,1,0,0,Enrolled,1,12,17,1,23,28,4,4,1
19,6,7,15.5,2.8,-4.06,1,0,0,1,0,1,Graduate,1,1,12,1,13,14,10,8,1
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,0,Graduate,1,9,12,1,23,27,10,8,1
19,0,0,10.8,1.4,1.74,1,1,0,0,0,0,Dropout,1,1,5,1,3,28,2,10,1
20,6,7,13.9,-0.3,0.79,1,0,0,1,0,0,Graduate,1,1,12,1,23,14,10,6,1
25,7,5,12.4,0.5,1.79,1,1,0,1,0,0,Enrolled,1,12,13,1,22,27,10,10,2
20,6,6,7.6,2.6,0.32,1,1,0,1,0,1,Graduate,1,8,12,1,13,28,6,10,1
24,4,5,9.4,-0.8,-3.12,1,1,0,1,0,0,Enrolled,1,12,10,1,23,14,10,10,1
20,5,5,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,1,14,1,1,1,6,6,3
21,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,13,12,1,1,14,5,9,1
19,6,5,15.5,2.8,-4.06,1,0,1,1,0,1,Graduate,1,15,4,14,22,28,10,10,1
19,6,6,16.2,0.3,-0.92,1,0,0,1,0,1,Graduate,1,1,15,1,23,27,10,10,1
21,5,4,9.4,-0.8,-3.12,1,0,0,1,0,1,Graduate,1,1,14,1,22,28,10,10,2
28,7,8,15.5,2.8,-4.06,1,0,0,1,0,0,Graduate,1,12,12,3,3,27,3,11,1
19,5,5,10.8,1.4,1.74,1,1,1,0,0,1,Graduate,1,1,10,1,22,28,10,10,1
18,5,5,12.4,0.5,1.79,1,0,0,1,0,1,Graduate,1,1,9,1,22,27,10,7,1
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,Graduate,5,8,12,1,22,28,6,9,5
18,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,Graduate,1,1,12,1,13,27,8,8,3
22,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,Graduate,1,13,12,1,1,2,10,4,1
19,4,3,12.4,0.5,1.79,1,1,0,1,0,0,Enrolled,1,1,9,1,22,27,32,36,1
18,7,8,13.9,-0.3,0.79,1,0,0,1,0,1,Graduate,1,1,12,1,13,1,10,6,1
20,0,0,15.5,2.8,-4.06,1,0,0,0,0,0,Dropout,1,8,11,1,22,27,6,7,1
26,4,3,12.4,0.5,1.79,1,0,0,0,0,0,Dropout,1,15,2,14,22,27,6,7,1
18,6,6,10.8,1.4,1.74,1,1,0,1,0,1,Graduate,1,1,5,1,22,28,10,10,3
21,6,3,10.8,1.4,1.74,1,1,0,1,0,1,Dropout,1,1,11,1,1,28,5,10,1
18,7,7,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,8,12,1,23,27,4,4,4
20,6,6,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,1,6,1,13,14,5,7,1
18,7,7,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,1,12,1,23,14,6,7,6
19,5,3,12.7,3.7,-1.7,1,0,0,1,0,1,Enrolled,1,8,9,1,13,28,8,10,6
20,4,4,7.6,2.6,0.32,1,1,0,1,0,0,Dropout,1,1,14,1,1,1,3,3,1
18,6,6,12.7,3.7,-1.7,1,0,1,1,0,1,Graduate,1,1,16,1,13,14,10,6,1
20,3,4,10.8,1.4,1.74,1,1,0,1,0,1,Enrolled,1,7,9,1,22,27,10,10,2
22,5,5,7.6,2.6,0.32,0,1,0,1,0,0,Graduate,1,1,3,1,13,9,1,1,2
18,0,0,7.6,2.6,0.32,1,1,0,1,0,0,Enrolled,1,1,2,1,13,28,5,6,1
21,4,5,8.9,1.4,3.51,0,0,0,1,0,0,Graduate,1,16,17,1,13,28,6,8,1
18,6,6,13.9,-0.3,0.79,1,0,0,1,0,0,Enrolled,1,9,16,1,1,1,10,1,2
18,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,Graduate,1,1,12,1,13,14,5,5,1
18,6,6,8.9,1.4,3.51,1,0,0,1,0,1,Graduate,1,1,5,1,10,14,5,6,1
19,0,0,15.5,2.8,-4.06,1,1,0,1,0,0,Dropout,1,8,2,1,22,27,10,2,1
19,3,3,10.8,1.4,1.74,1,1,0,1,0,0,Enrolled,1,8,9,1,1,14,4,6,3
19,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,Enrolled,1,1,12,1,23,1,10,5,1
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,1,12,1,1,27,8,8,3
19,4,4,8.9,1.4,3.51,1,1,0,1,0,0,Enrolled,1,1,9,1,1,2,11,11,1
19,3,1,10.8,1.4,1.74,1,1,0,0,0,0,Dropout,1,8,11,1,23,27,10,8,1
21,6,6,8.9,1.4,3.51,1,1,0,1,0,1,Graduate,1,7,11,1,23,27,10,8,4
20,5,5,15.5,2.8,-4.06,1,0,0,1,0,1,Graduate,1,1,15,1,1,27,10,8,2
20,5,5,11.1,0.6,2.02,1,1,0,1,0,1,Graduate,1,1,9,1,13,14,4,10,1
41,5,5,7.6,2.6,0.32,0,0,0,1,0,0,Graduate,1,12,17,12,22,27,10,10,1
32,4,7,12.4,0.5,1.79,1,1,0,1,0,0,Enrolled,4,4,12,15,22,27,4,4,1
18,7,7,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,8,12,1,23,1,10,6,3
35,6,6,15.5,2.8,-4.06,0,0,0,1,0,1,Graduate,4,12,3,1,22,27,4,5,1
32,4,0,16.2,0.3,-0.92,1,0,1,0,0,0,Dropout,1,12,12,1,22,27,10,10,1
37,11,8,12.4,0.5,1.79,0,0,0,1,0,0,Graduate,1,12,3,15,13,27,6,10,1
30,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,Dropout,2,12,9,3,3,27,10,10,2
23,6,5,7.6,2.6,0.32,1,0,0,1,1,0,Graduate,1,14,15,1,13,14,1,1,2
20,6,6,15.5,2.8,-4.06,1,1,0,1,0,1,Dropout,1,8,15,1,3,1,3,8,2
21,4,4,9.4,-0.8,-3.12,1,0,0,1,1,0,Graduate,1,1,14,1,13,27,6,8,1
19,5,5,12.4,0.5,1.79,1,0,0,1,1,0,Graduate,1,1,9,1,23,14,6,8,1
18,7,7,10.8,1.4,1.74,1,1,0,1,1,1,Graduate,1,8,12,1,1,14,5,4,4
18,1,1,10.8,1.4,1.74,1,0,0,1,1,0,Dropout,1,13,7,1,19,24,1,1,1
24,4,5,12.4,0.5,1.79,0,0,0,1,1,0,Enrolled,1,12,17,1,1,1,5,11,1
22,4,4,12.7,3.7,-1.7,1,1,0,1,1,0,Graduate,1,9,14,1,1,27,10,10,1
18,4,3,16.2,0.3,-0.92,1,1,0,1,1,0,Dropout,1,8,11,1,13,1,6,6,4
18,6,5,9.4,-0.8,-3.12,1,1,0,1,0,0,Graduate,1,7,10,1,22,27,6,7,2
21,5,5,16.2,0.3,-0.92,1,1,0,1,1,0,Graduate,1,1,5,1,2,1,10,2,2
38,3,2,16.2,0.3,-0.92,1,0,1,1,0,0,Dropout,4,12,12,1,22,27,10,10,1
19,7,8,12.7,3.7,-1.7,1,0,0,1,0,1,Graduate,1,9,13,1,23,27,10,10,1
36,4,3,16.2,0.3,-0.92,1,0,0,1,0,0,Dropout,6,12,12,1,22,27,10,10,1
18,4,4,12.7,3.7,-1.7,1,1,0,1,0,0,Graduate,1,7,6,1,1,1,10,10,1
19,7,6,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,1,12,1,13,14,6,6,3
21,8,5,8.9,1.4,3.51,1,0,1,0,0,0,Dropout,1,17,6,16,13,28,10,10,1
19,6,6,11.1,0.6,2.02,1,1,0,1,0,0,Enrolled,1,1,12,1,13,28,30,43,2
18,5,6,16.2,0.3,-0.92,1,0,0,1,0,1,Graduate,1,1,10,1,13,14,10,10,1
45,11,10,13.9,-0.3,0.79,1,1,0,1,0,0,Enrolled,2,4,12,3,22,14,10,8,1
20,1,1,7.6,2.6,0.32,1,1,0,1,0,0,Dropout,1,8,9,1,22,27,10,8,1
18,6,4,13.9,-0.3,0.79,1,1,1,1,0,0,Graduate,1,8,11,1,13,1,6,8,1
18,6,6,11.1,0.6,2.02,1,0,0,1,0,1,Graduate,1,1,14,1,1,14,5,5,1
25,0,0,10.8,1.4,1.74,1,0,0,1,0,0,Dropout,1,4,8,3,19,24,1,1,2
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,1,12,1,1,1,5,5,6
18,0,0,13.9,-0.3,0.79,1,1,0,1,0,1,Graduate,1,1,2,1,13,14,8,8,1
39,13,12,13.9,-0.3,0.79,1,0,0,1,0,0,Graduate,1,4,11,15,1,1,4,7,1
29,18,13,15.5,2.8,-4.06,1,0,0,1,0,0,Graduate,2,12,4,1,23,27,10,10,1
18,6,7,13.9,-0.3,0.79,1,1,0,1,0,0,Enrolled,1,8,16,1,13,14,5,8,1
23,2,0,10.8,1.4,1.74,1,0,0,0,0,0,Dropout,1,4,5,3,22,2,10,4,1
21,4,3,12.7,3.7,-1.7,1,1,0,1,0,0,Dropout,1,13,16,1,1,27,6,6,1
18,6,6,10.8,1.4,1.74,1,0,0,0,0,0,Graduate,1,1,10,1,1,14,5,5,1
23,6,6,12.4,0.5,1.79,1,1,0,1,0,0,Graduate,1,4,6,15,1,14,6,6,1
18,6,6,11.1,0.6,2.02,1,0,0,1,0,0,Graduate,1,1,8,1,1,14,5,5,1
32,5,6,9.4,-0.8,-3.12,0,0,0,1,0,0,Graduate,2,12,3,12,22,27,5,9,1
29,3,2,10.8,1.4,1.74,1,0,1,0,0,0,Dropout,2,12,9,1,13,27,10,8,2
20,5,4,8.9,1.4,3.51,1,1,1,1,0,1,Graduate,1,1,10,1,1,28,32,35,6
28,1,0,9.4,-0.8,-3.12,1,1,0,0,0,0,Dropout,1,12,10,1,19,24,1,1,1
27,3,4,10.8,1.4,1.74,1,0,0,1,0,0,Graduate,1,4,9,3,23,28,2,10,1
22,12,12,7.6,2.6,0.32,1,0,1,1,0,0,Graduate,1,14,12,1,22,24,12,1,2
37,6,6,16.2,0.3,-0.92,1,0,1,1,0,0,Enrolled,2,12,4,12,13,27,10,11,1
28,1,0,12.7,3.7,-1.7,0,0,0,0,0,0,Dropout,1,4,3,3,22,28,1,6,1
43,4,4,8.9,1.4,3.51,1,0,1,0,0,0,Dropout,2,12,4,1,22,27,10,10,1
32,0,0,10.8,1.4,1.74,1,1,0,0,0,0,Dropout,1,14,13,1,22,27,10,10,1
