Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Daytime/evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Marital status,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Application order,Target
19,5,5,16.2,0.3,-0.92,1,0,1,1,1,0,1,1,9,1,3,14,4,4,1,Graduate
22,0,0,7.6,2.6,0.32,1,1,0,0,1,1,1,8,15,1,3,5,1,3,2,Dropout
32,10,4,7.6,2.6,0.32,1,0,0,1,1,0,2,14,14,1,19,24,1,1,1,Graduate
61,0,0,15.5,2.8,-4.06,1,0,0,1,1,0,1,12,9,1,22,3,10,3,1,Dropout
30,5,5,7.6,2.6,0.32,0,1,0,1,1,0,1,12,17,1,22,27,10,10,1,Graduate
45,0,0,12.4,0.5,1.79,0,0,1,0,1,0,2,12,17,1,22,27,10,10,1,Dropout
20,6,6,12.4,0.5,1.79,1,0,0,1,1,0,1,15,4,14,1,14,5,9,1,Graduate
19,0,0,9.4,-0.8,-3.12,1,0,0,1,0,0,1,9,12,1,13,1,2,11,5,Dropout
26,4,4,7.6,2.6,0.32,1,1,0,1,1,0,1,13,7,1,3,1,3,10,1,Dropout
19,3,1,7.6,2.6,0.32,1,1,0,1,1,0,1,8,14,1,1,1,5,12,4,Dropout
19,6,6,16.2,0.3,-0.92,1,0,0,1,1,1,1,8,15,1,13,27,10,10,1,Graduate
19,6,5,12.4,0.5,1.79,1,1,0,1,1,0,1,1,15,1,23,1,10,5,3,Graduate
19,5,5,16.2,0.3,-0.92,1,1,0,1,1,1,1,1,9,1,1,14,6,6,1,Graduate
19,0,0,7.6,2.6,0.32,1,1,0,0,1,0,1,1,14,1,11,9,1,1,3,Dropout
28,3,2,7.6,2.6,0.32,1,1,0,0,1,0,1,12,14,1,19,24,1,1,1,Dropout
24,15,14,9.4,-0.8,-3.12,1,0,0,1,1,0,1,14,9,1,22,27,10,10,1,Graduate
18,3,5,7.6,2.6,0.32,1,0,0,1,1,0,1,1,8,1,3,1,3,5,1,Graduate
18,2,2,7.6,2.6,0.32,1,0,0,1,1,0,1,1,7,1,23,28,6,6,2,Enrolled
18,6,5,12.4,0.5,1.79,1,1,0,1,1,1,1,1,15,1,1,3,4,8,1,Graduate
21,5,5,8.9,1.4,3.51,1,0,0,1,1,0,1,15,4,14,4,1,3,9,1,Graduate
28,0,0,12.4,0.5,1.79,0,0,0,0,1,0,2,12,17,1,13,27,10,6,1,Dropout
58,0,0,13.9,-0.3,0.79,1,0,0,1,1,0,1,12,4,9,22,14,10,11,1,Dropout
49,0,0,7.6,2.6,0.32,0,1,0,0,1,0,2,12,17,1,19,24,1,1,1,Dropout
24,3,2,15.5,2.8,-4.06,1,0,0,1,1,0,1,12,7,1,1,28,4,6,1,Enrolled
25,4,4,7.6,2.6,0.32,1,0,0,1,1,0,1,14,14,1,19,24,1,1,1,Graduate
33,1,0,7.6,2.6,0.32,1,1,0,1,1,0,4,13,9,1,22,28,8,4,1,Dropout
33,0,0,9.4,-0.8,-3.12,1,0,0,0,1,0,2,12,7,12,22,27,8,8,2,Dropout
40,1,4,13.9,-0.3,0.79,1,0,0,1,1,0,2,14,16,1,22,27,8,8,1,Graduate
48,5,5,16.2,0.3,-0.92,0,0,0,1,1,0,2,12,17,1,22,14,10,4,1,Graduate
18,3,3,8.9,1.4,3.51,1,1,1,0,1,0,1,8,7,1,1,14,10,4,3,Enrolled
24,6,6,7.6,2.6,0.32,1,1,0,1,1,0,1,12,12,12,23,28,10,9,1,Graduate
23,5,4,10.8,1.4,1.74,1,0,0,1,1,1,2,1,6,1,13,14,30,29,1,Graduate
39,5,5,10.8,1.4,1.74,0,1,1,0,1,0,1,12,17,12,13,27,8,6,1,Dropout
21,9,8,15.5,2.8,-4.06,1,0,0,1,1,0,1,9,4,1,1,28,10,7,1,Graduate
34,4,2,7.6,2.6,0.32,1,1,0,1,1,0,1,13,7,6,20,25,7,7,1,Dropout
41,4,5,8.9,1.4,3.51,0,0,0,1,1,1,2,12,17,1,13,14,5,5,1,Enrolled
18,6,6,12.7,3.7,-1.7,1,0,0,1,1,0,1,1,15,1,1,28,5,6,1,Graduate
34,4,4,13.9,-0.3,0.79,0,0,0,1,1,0,2,12,17,1,23,28,10,4,1,Enrolled
19,2,1,7.6,2.6,0.32,1,0,0,1,1,0,1,1,9,1,1,1,3,11,1,Dropout
19,7,7,12.7,3.7,-1.7,1,0,0,1,1,0,1,1,12,1,13,14,4,4,1,Graduate
28,6,6,16.2,0.3,-0.92,1,0,0,1,1,0,1,4,4,4,1,1,5,7,1,Graduate
18,5,0,7.6,2.6,0.32,1,1,0,1,1,0,1,8,5,1,1,1,6,1,1,Dropout
19,3,2,11.1,0.6,2.02,1,1,0,1,1,0,1,1,10,1,2,2,4,5,1,Dropout
19,5,2,12.4,0.5,1.79,1,1,1,0,1,0,1,8,6,1,13,28,10,2,2,Dropout
18,7,8,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,12,1,1,3,10,3,1,Graduate
18,6,5,12.4,0.5,1.79,1,1,0,1,0,0,1,1,8,1,3,3,3,3,1,Graduate
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,1,1,15,1,1,3,4,4,1,Dropout
19,6,6,12.4,0.5,1.79,1,1,0,1,0,0,1,15,10,14,3,14,5,10,2,Graduate
31,5,5,12.7,3.7,-1.7,1,0,0,1,0,0,2,4,10,3,22,27,29,43,1,Graduate
33,6,6,12.7,3.7,-1.7,0,0,0,1,0,1,1,12,3,1,22,27,10,9,1,Graduate
20,5,6,12.4,0.5,1.79,1,1,0,1,0,1,1,1,12,1,3,1,19,26,3,Enrolled
22,5,2,12.4,0.5,1.79,1,1,0,1,0,0,1,15,6,14,13,1,7,5,1,Enrolled
19,6,5,11.1,0.6,2.02,1,1,0,1,0,0,1,8,11,1,1,14,4,4,1,Graduate
18,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,1,5,1,19,24,1,1,3,Dropout
18,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,1,8,5,1,23,1,6,6,3,Dropout
18,0,0,8.9,1.4,3.51,1,1,0,0,0,0,1,1,14,1,13,28,10,10,5,Dropout
18,0,0,11.1,0.6,2.02,1,1,0,1,0,0,1,1,2,1,3,4,3,6,1,Graduate
19,5,3,12.4,0.5,1.79,1,1,0,1,0,1,1,8,9,1,13,14,8,8,2,Graduate
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,1,8,10,1,1,3,4,5,2,Dropout
18,3,5,12.7,3.7,-1.7,1,1,0,1,0,0,1,8,6,1,3,14,6,6,1,Graduate
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,1,8,12,1,22,27,10,7,6,Graduate
21,9,9,8.9,1.4,3.51,1,1,0,1,0,0,1,17,10,16,22,27,10,11,1,Graduate
18,7,7,12.7,3.7,-1.7,1,0,0,1,0,1,1,1,12,1,13,27,6,6,1,Graduate
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,1,8,14,1,1,28,4,4,3,Graduate
18,7,6,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,12,1,13,14,10,11,2,Graduate
20,6,7,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,12,1,13,1,5,4,1,Graduate
18,5,5,12.7,3.7,-1.7,1,0,0,1,0,1,1,8,9,1,1,28,5,6,1,Graduate
18,0,0,11.1,0.6,2.02,1,1,0,1,0,0,1,1,15,1,13,1,5,6,2,Dropout
20,5,5,8.9,1.4,3.51,1,1,0,1,0,1,1,9,9,1,22,28,29,28,2,Graduate
20,6,6,12.4,0.5,1.79,1,1,0,1,0,0,1,8,11,1,13,14,10,9,1,Graduate
19,4,0,11.1,0.6,2.02,1,1,1,1,0,1,1,8,9,1,22,1,10,10,1,Dropout
19,11,11,11.1,0.6,2.02,1,0,0,1,0,1,1,16,5,1,3,1,4,6,1,Graduate
18,1,0,12.7,3.7,-1.7,1,1,1,0,0,1,1,8,14,1,13,27,10,13,4,Dropout
19,6,6,15.5,2.8,-4.06,1,1,1,1,0,1,1,8,15,1,1,1,5,10,3,Graduate
20,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,1,28,5,8,2,Graduate
21,6,5,11.1,0.6,2.02,1,1,0,1,0,0,1,15,9,14,13,1,5,10,1,Graduate
21,6,6,10.8,1.4,1.74,1,0,0,1,0,0,1,14,12,1,26,3,3,3,2,Graduate
20,6,6,11.1,0.6,2.02,1,0,0,1,0,0,1,8,5,1,23,28,10,10,1,Graduate
19,7,7,8.9,1.4,3.51,1,1,0,1,0,0,1,9,16,1,23,28,29,36,2,Graduate
21,2,2,7.6,2.6,0.32,1,0,0,0,0,0,1,8,6,1,1,14,5,12,3,Dropout
18,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,6,1,18,14,5,12,1,Graduate
19,5,5,8.9,1.4,3.51,1,0,0,1,0,1,1,1,11,1,13,27,10,10,5,Graduate
18,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,12,1,13,14,10,5,2,Graduate
19,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,1,1,12,1,1,1,10,10,4,Graduate
18,3,3,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,9,1,1,14,5,4,2,Graduate
18,4,4,15.5,2.8,-4.06,1,0,0,1,0,1,1,1,16,1,13,27,6,8,1,Enrolled
18,6,6,13.9,-0.3,0.79,1,0,0,1,0,0,1,1,15,1,22,27,9,9,1,Graduate
18,4,5,10.8,1.4,1.74,1,1,0,1,0,1,1,8,6,1,1,27,10,10,1,Graduate
18,2,0,12.4,0.5,1.79,1,1,0,1,0,0,1,8,5,1,23,14,8,8,1,Dropout
18,6,6,11.1,0.6,2.02,1,0,0,1,0,1,1,1,5,1,1,28,10,8,3,Enrolled
18,0,0,11.1,0.6,2.02,1,0,0,1,0,0,1,8,10,1,1,28,10,8,1,Dropout
18,6,6,10.8,1.4,1.74,1,0,0,1,0,0,1,1,10,1,1,3,5,3,1,Graduate
20,2,6,13.9,-0.3,0.79,1,1,0,1,0,1,1,13,6,1,1,28,5,10,1,Graduate
18,5,5,15.5,2.8,-4.06,1,0,0,1,0,0,1,1,16,1,3,1,3,6,1,Enrolled
18,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,5,1,1,14,5,6,4,Graduate
20,7,7,10.8,1.4,1.74,1,0,0,1,0,1,1,9,12,1,22,27,10,8,6,Graduate
40,8,5,9.4,-0.8,-3.12,1,0,0,1,0,0,4,14,14,1,22,27,10,7,1,Graduate
18,6,7,15.5,2.8,-4.06,1,1,0,1,0,1,1,1,12,1,23,28,10,10,6,Graduate
19,5,5,13.9,-0.3,0.79,1,1,0,1,0,0,1,1,11,1,13,14,5,8,5,Graduate
24,0,0,12.4,0.5,1.79,0,0,0,1,0,0,1,4,17,15,1,14,5,10,1,Dropout
19,6,6,10.8,1.4,1.74,1,1,0,1,0,0,1,1,15,1,3,28,3,11,3,Dropout
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,1,12,1,2,1,5,5,6,Graduate
20,6,7,11.1,0.6,2.02,1,1,0,1,0,1,1,1,12,1,1,14,10,7,1,Graduate
18,7,8,12.4,0.5,1.79,1,0,0,1,0,0,1,1,12,1,23,28,6,6,1,Graduate
18,0,0,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,2,1,1,28,5,9,1,Graduate
19,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,12,1,13,27,5,8,2,Graduate
18,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,12,1,3,3,5,6,3,Dropout
19,6,5,12.4,0.5,1.79,1,1,0,1,0,0,1,15,6,14,3,3,3,3,1,Graduate
19,7,8,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,12,1,22,27,10,8,2,Graduate
19,7,7,12.4,0.5,1.79,1,0,0,1,0,1,1,1,12,1,13,14,6,8,1,Graduate
19,7,7,11.1,0.6,2.02,1,1,0,1,0,1,1,1,12,1,1,27,5,5,2,Dropout
19,6,6,7.6,2.6,0.32,1,0,0,1,0,0,1,1,12,1,1,28,2,8,1,Graduate
25,5,4,9.4,-0.8,-3.12,1,1,1,0,0,0,1,12,14,9,1,14,2,6,1,Dropout
20,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,1,1,12,1,13,14,5,11,1,Graduate
23,7,4,8.9,1.4,3.51,1,0,1,0,0,0,1,17,10,16,1,14,6,6,1,Dropout
20,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,1,1,5,1,13,14,8,8,1,Dropout
27,5,6,11.1,0.6,2.02,0,0,0,1,0,0,1,12,3,1,22,9,10,11,1,Graduate
18,8,8,9.4,-0.8,-3.12,1,0,0,1,0,0,1,1,12,1,13,1,5,5,1,Graduate
18,5,4,9.4,-0.8,-3.12,1,1,1,1,0,0,1,1,16,1,13,1,6,11,1,Enrolled
23,11,8,13.9,-0.3,0.79,0,1,1,0,0,0,1,4,3,15,13,1,6,11,1,Dropout
19,6,6,7.6,2.6,0.32,1,1,0,1,0,1,1,1,12,1,23,27,6,7,6,Graduate
18,5,5,15.5,2.8,-4.06,1,0,0,1,0,0,1,1,9,1,22,28,4,4,1,Graduate
20,7,8,13.9,-0.3,0.79,1,1,0,1,0,0,1,14,12,1,1,14,10,9,1,Graduate
18,4,5,12.4,0.5,1.79,1,1,0,1,0,0,1,1,14,1,13,14,10,10,2,Graduate
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,1,1,5,5,1,Graduate
19,6,6,12.4,0.5,1.79,1,1,0,1,0,1,1,15,10,14,13,14,9,9,1,Graduate
19,4,5,9.4,-0.8,-3.12,1,0,0,1,0,0,1,1,16,1,23,27,6,6,1,Enrolled
18,4,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,6,1,3,3,2,12,1,Graduate
18,5,6,9.4,-0.8,-3.12,1,0,0,1,0,0,1,1,10,1,22,27,10,6,1,Graduate
18,6,6,11.1,0.6,2.02,1,1,0,1,0,0,1,1,15,1,13,14,5,8,2,Graduate
28,11,8,15.5,2.8,-4.06,1,0,0,0,0,0,1,2,16,1,13,28,10,10,1,Dropout
19,4,1,7.6,2.6,0.32,1,1,0,1,0,0,1,8,11,1,22,27,6,10,1,Dropout
20,0,0,13.9,-0.3,0.79,1,1,1,1,0,0,1,14,2,1,3,1,3,4,1,Dropout
19,6,7,12.4,0.5,1.79,1,1,0,1,0,1,1,1,12,1,1,27,5,10,2,Graduate
20,6,6,11.1,0.6,2.02,1,0,0,1,0,1,1,1,5,1,1,14,5,1,1,Graduate
19,5,5,12.4,0.5,1.79,1,1,0,1,0,1,1,1,11,1,13,14,10,10,2,Graduate
21,5,4,8.9,1.4,3.51,1,1,0,1,0,0,1,16,5,1,5,1,3,11,1,Enrolled
19,7,7,11.1,0.6,2.02,1,1,0,1,0,1,1,1,16,1,1,14,10,5,1,Graduate
18,6,6,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,5,1,13,1,10,4,2,Graduate
19,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,1,8,8,1,3,1,3,2,2,Dropout
19,6,6,8.9,1.4,3.51,1,0,0,1,0,1,1,8,14,1,10,28,10,6,1,Graduate
20,5,6,16.2,0.3,-0.92,1,0,1,1,0,0,1,1,15,1,23,14,18,16,1,Graduate
18,5,6,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,16,1,1,1,5,1,2,Enrolled
18,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,1,14,2,1,13,14,6,8,1,Enrolled
18,4,5,7.6,2.6,0.32,1,0,0,1,0,0,1,8,8,1,1,1,5,6,1,Graduate
18,0,0,8.9,1.4,3.51,1,0,0,1,0,0,1,8,15,1,13,14,6,9,3,Dropout
18,5,6,7.6,2.6,0.32,1,1,0,1,0,0,1,8,10,1,22,28,1,8,3,Graduate
20,5,6,15.5,2.8,-4.06,1,1,0,1,0,0,1,9,15,1,13,14,5,5,4,Dropout
19,7,8,12.4,0.5,1.79,1,1,0,1,0,1,1,8,12,1,13,1,10,10,3,Graduate
21,3,3,15.5,2.8,-4.06,1,1,1,0,0,0,1,1,16,1,22,27,10,10,1,Dropout
20,0,0,10.8,1.4,1.74,1,1,1,0,0,0,1,8,14,3,10,3,6,9,1,Dropout
18,5,4,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,11,1,22,28,10,10,1,Graduate
20,6,6,10.8,1.4,1.74,1,0,0,1,0,1,1,1,15,1,1,4,6,4,1,Graduate
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,13,27,2,10,2,Graduate
22,4,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,6,6,13,14,10,10,1,Dropout
22,0,0,9.4,-0.8,-3.12,1,1,0,0,0,0,1,8,8,1,13,14,10,10,1,Dropout
18,3,4,10.8,1.4,1.74,1,1,0,1,0,0,1,1,16,1,23,28,8,6,2,Enrolled
21,6,7,7.6,2.6,0.32,1,0,0,1,0,0,1,14,9,1,3,14,10,10,1,Enrolled
19,2,5,7.6,2.6,0.32,1,1,0,1,0,0,1,1,10,1,13,14,1,6,1,Graduate
19,0,0,10.8,1.4,1.74,1,1,0,1,0,0,1,1,2,1,22,28,10,10,4,Dropout
20,7,7,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,19,24,1,1,2,Dropout
18,7,8,15.5,2.8,-4.06,1,1,1,1,0,1,1,1,12,1,23,14,9,9,3,Graduate
22,7,5,8.9,1.4,3.51,0,0,0,0,0,0,1,16,17,16,13,27,6,10,1,Dropout
20,4,5,7.6,2.6,0.32,1,1,0,1,0,0,1,8,6,1,13,26,12,8,4,Graduate
19,6,6,12.4,0.5,1.79,1,0,0,1,0,0,1,15,4,14,23,28,7,7,1,Graduate
19,7,7,12.4,0.5,1.79,1,1,0,1,0,1,1,1,12,1,1,14,7,8,5,Graduate
20,5,6,11.1,0.6,2.02,1,1,0,1,0,1,1,1,12,1,23,14,10,8,2,Enrolled
25,3,3,15.5,2.8,-4.06,0,0,0,1,0,0,1,12,17,1,23,28,4,4,1,Enrolled
19,6,7,15.5,2.8,-4.06,1,0,0,1,0,1,1,1,12,1,13,14,10,8,1,Graduate
19,8,8,9.4,-0.8,-3.12,1,1,0,1,0,0,1,9,12,1,23,27,10,8,1,Graduate
19,0,0,10.8,1.4,1.74,1,1,0,0,0,0,1,1,5,1,3,28,2,10,1,Dropout
20,6,7,13.9,-0.3,0.79,1,0,0,1,0,0,1,1,12,1,23,14,10,6,1,Graduate
25,7,5,12.4,0.5,1.79,1,1,0,1,0,0,1,12,13,1,22,27,10,10,2,Enrolled
20,6,6,7.6,2.6,0.32,1,1,0,1,0,1,1,8,12,1,13,28,6,10,1,Graduate
24,4,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,12,10,1,23,14,10,10,1,Enrolled
20,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,14,1,1,1,6,6,3,Graduate
21,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,1,13,12,1,1,14,5,9,1,Graduate
19,6,5,15.5,2.8,-4.06,1,0,1,1,0,1,1,15,4,14,22,28,10,10,1,Graduate
19,6,6,16.2,0.3,-0.92,1,0,0,1,0,1,1,1,15,1,23,27,10,10,1,Graduate
21,5,4,9.4,-0.8,-3.12,1,0,0,1,0,1,1,1,14,1,22,28,10,10,2,Graduate
28,7,8,15.5,2.8,-4.06,1,0,0,1,0,0,1,12,12,3,3,27,3,11,1,Graduate
19,5,5,10.8,1.4,1.74,1,1,1,0,0,1,1,1,10,1,22,28,10,10,1,Graduate
18,5,5,12.4,0.5,1.79,1,0,0,1,0,1,1,1,9,1,22,27,10,7,1,Graduate
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,5,8,12,1,22,28,6,9,5,Graduate
18,8,8,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,13,27,8,8,3,Graduate
22,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,1,13,12,1,1,2,10,4,1,Graduate
19,4,3,12.4,0.5,1.79,1,1,0,1,0,0,1,1,9,1,22,27,32,36,1,Enrolled
18,7,8,13.9,-0.3,0.79,1,0,0,1,0,1,1,1,12,1,13,1,10,6,1,Graduate
20,0,0,15.5,2.8,-4.06,1,0,0,0,0,0,1,8,11,1,22,27,6,7,1,Dropout
26,4,3,12.4,0.5,1.79,1,0,0,0,0,0,1,15,2,14,22,27,6,7,1,Dropout
18,6,6,10.8,1.4,1.74,1,1,0,1,0,1,1,1,5,1,22,28,10,10,3,Graduate
21,6,3,10.8,1.4,1.74,1,1,0,1,0,1,1,1,11,1,1,28,5,10,1,Dropout
18,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,8,12,1,23,27,4,4,4,Graduate
20,6,6,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,6,1,13,14,5,7,1,Graduate
18,7,7,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,12,1,23,14,6,7,6,Graduate
19,5,3,12.7,3.7,-1.7,1,0,0,1,0,1,1,8,9,1,13,28,8,10,6,Enrolled
20,4,4,7.6,2.6,0.32,1,1,0,1,0,0,1,1,14,1,1,1,3,3,1,Dropout
18,6,6,12.7,3.7,-1.7,1,0,1,1,0,1,1,1,16,1,13,14,10,6,1,Graduate
20,3,4,10.8,1.4,1.74,1,1,0,1,0,1,1,7,9,1,22,27,10,10,2,Enrolled
22,5,5,7.6,2.6,0.32,0,1,0,1,0,0,1,1,3,1,13,9,1,1,2,Graduate
18,0,0,7.6,2.6,0.32,1,1,0,1,0,0,1,1,2,1,13,28,5,6,1,Enrolled
21,4,5,8.9,1.4,3.51,0,0,0,1,0,0,1,16,17,1,13,28,6,8,1,Graduate
18,6,6,13.9,-0.3,0.79,1,0,0,1,0,0,1,9,16,1,1,1,10,1,2,Enrolled
18,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,1,1,12,1,13,14,5,5,1,Graduate
18,6,6,8.9,1.4,3.51,1,0,0,1,0,1,1,1,5,1,10,14,5,6,1,Graduate
19,0,0,15.5,2.8,-4.06,1,1,0,1,0,0,1,8,2,1,22,27,10,2,1,Dropout
19,3,3,10.8,1.4,1.74,1,1,0,1,0,0,1,8,9,1,1,14,4,6,3,Enrolled
19,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,12,1,23,1,10,5,1,Enrolled
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,1,12,1,1,27,8,8,3,Graduate
19,4,4,8.9,1.4,3.51,1,1,0,1,0,0,1,1,9,1,1,2,11,11,1,Enrolled
19,3,1,10.8,1.4,1.74,1,1,0,0,0,0,1,8,11,1,23,27,10,8,1,Dropout
21,6,6,8.9,1.4,3.51,1,1,0,1,0,1,1,7,11,1,23,27,10,8,4,Graduate
20,5,5,15.5,2.8,-4.06,1,0,0,1,0,1,1,1,15,1,1,27,10,8,2,Graduate
20,5,5,11.1,0.6,2.02,1,1,0,1,0,1,1,1,9,1,13,14,4,10,1,Graduate
41,5,5,7.6,2.6,0.32,0,0,0,1,0,0,1,12,17,12,22,27,10,10,1,Graduate
32,4,7,12.4,0.5,1.79,1,1,0,1,0,0,4,4,12,15,22,27,4,4,1,Enrolled
18,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,8,12,1,23,1,10,6,3,Graduate
35,6,6,15.5,2.8,-4.06,0,0,0,1,0,1,4,12,3,1,22,27,4,5,1,Graduate
32,4,0,16.2,0.3,-0.92,1,0,1,0,0,0,1,12,12,1,22,27,10,10,1,Dropout
37,11,8,12.4,0.5,1.79,0,0,0,1,0,0,1,12,3,15,13,27,6,10,1,Graduate
30,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,2,12,9,3,3,27,10,10,2,Dropout
23,6,5,7.6,2.6,0.32,1,0,0,1,1,0,1,14,15,1,13,14,1,1,2,Graduate
20,6,6,15.5,2.8,-4.06,1,1,0,1,0,1,1,8,15,1,3,1,3,8,2,Dropout
21,4,4,9.4,-0.8,-3.12,1,0,0,1,1,0,1,1,14,1,13,27,6,8,1,Graduate
19,5,5,12.4,0.5,1.79,1,0,0,1,1,0,1,1,9,1,23,14,6,8,1,Graduate
18,7,7,10.8,1.4,1.74,1,1,0,1,1,1,1,8,12,1,1,14,5,4,4,Graduate
18,1,1,10.8,1.4,1.74,1,0,0,1,1,0,1,13,7,1,19,24,1,1,1,Dropout
24,4,5,12.4,0.5,1.79,0,0,0,1,1,0,1,12,17,1,1,1,5,11,1,Enrolled
22,4,4,12.7,3.7,-1.7,1,1,0,1,1,0,1,9,14,1,1,27,10,10,1,Graduate
18,4,3,16.2,0.3,-0.92,1,1,0,1,1,0,1,8,11,1,13,1,6,6,4,Dropout
18,6,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,7,10,1,22,27,6,7,2,Graduate
21,5,5,16.2,0.3,-0.92,1,1,0,1,1,0,1,1,5,1,2,1,10,2,2,Graduate
38,3,2,16.2,0.3,-0.92,1,0,1,1,0,0,4,12,12,1,22,27,10,10,1,Dropout
19,7,8,12.7,3.7,-1.7,1,0,0,1,0,1,1,9,13,1,23,27,10,10,1,Graduate
36,4,3,16.2,0.3,-0.92,1,0,0,1,0,0,6,12,12,1,22,27,10,10,1,Dropout
18,4,4,12.7,3.7,-1.7,1,1,0,1,0,0,1,7,6,1,1,1,10,10,1,Graduate
19,7,6,12.4,0.5,1.79,1,1,0,1,0,0,1,1,12,1,13,14,6,6,3,Graduate
21,8,5,8.9,1.4,3.51,1,0,1,0,0,0,1,17,6,16,13,28,10,10,1,Dropout
19,6,6,11.1,0.6,2.02,1,1,0,1,0,0,1,1,12,1,13,28,30,43,2,Enrolled
18,5,6,16.2,0.3,-0.92,1,0,0,1,0,1,1,1,10,1,13,14,10,10,1,Graduate
45,11,10,13.9,-0.3,0.79,1,1,0,1,0,0,2,4,12,3,22,14,10,8,1,Enrolled
20,1,1,7.6,2.6,0.32,1,1,0,1,0,0,1,8,9,1,22,27,10,8,1,Dropout
18,6,4,13.9,-0.3,0.79,1,1,1,1,0,0,1,8,11,1,13,1,6,8,1,Graduate
18,6,6,11.1,0.6,2.02,1,0,0,1,0,1,1,1,14,1,1,14,5,5,1,Graduate
25,0,0,10.8,1.4,1.74,1,0,0,1,0,0,1,4,8,3,19,24,1,1,2,Dropout
19,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,1,12,1,1,1,5,5,6,Graduate
18,0,0,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,2,1,13,14,8,8,1,Graduate
39,13,12,13.9,-0.3,0.79,1,0,0,1,0,0,1,4,11,15,1,1,4,7,1,Graduate
29,18,13,15.5,2.8,-4.06,1,0,0,1,0,0,2,12,4,1,23,27,10,10,1,Graduate
18,6,7,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,16,1,13,14,5,8,1,Enrolled
23,2,0,10.8,1.4,1.74,1,0,0,0,0,0,1,4,5,3,22,2,10,4,1,Dropout
21,4,3,12.7,3.7,-1.7,1,1,0,1,0,0,1,13,16,1,1,27,6,6,1,Dropout
18,6,6,10.8,1.4,1.74,1,0,0,0,0,0,1,1,10,1,1,14,5,5,1,Graduate
23,6,6,12.4,0.5,1.79,1,1,0,1,0,0,1,4,6,15,1,14,6,6,1,Graduate
18,6,6,11.1,0.6,2.02,1,0,0,1,0,0,1,1,8,1,1,14,5,5,1,Graduate
32,5,6,9.4,-0.8,-3.12,0,0,0,1,0,0,2,12,3,12,22,27,5,9,1,Graduate
29,3,2,10.8,1.4,1.74,1,0,1,0,0,0,2,12,9,1,13,27,10,8,2,Dropout
